Country/Region,Material Class,Material Type,Process,Source,Process Description,Detailed Explanation,Assumed Product Weight (kg),Rationale for Assumed Product Weight,Source / Reference,EF (kgCO2) per 1 kg,Calculation Summary,Calculated Energy per kg (kWh/kg),Notes,Source,,
,Stone,Limestone,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),Installation of stone countertop is considered due to the nature of the production associated with furniture and such  products,92.2300,The source provided kWh/kg of 1m2 related energy and alos the weight of 1m2,EPD Natural Stone Countertops  2022/11/01 – 2027/10/31.pdf,Keep out of backend updates,0.15/92.23,0.0016,"Energy consumption associated with the installation of 1 m² (92.23 kg) of countertop is considered. The construction phase is excluded, as the stone material is assumed to be prepared during the customer’s pre-installation phase and is accounted for in the material database.",EPD (Sustainable Minds Transparency Report),,
China,Stone,Limestone,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,0.001,,,,,,
Vietnam,Stone,Limestone,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,0.001,,,,,,
Global,Stone,Limestone,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,0.001,,,,,,
Czech Republic,Stone,Limestone,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,0.001,,,,,,
France,Stone,Limestone,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,0.000,,,,,,
Netherlands,Stone,Limestone,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,0.001,,,,,,
Poland,Stone,Limestone,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,0.002,,,,,,
Spain,Stone,Limestone,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,0.000,,,,,,
Taiwan,Stone,Limestone,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,0.001,,,,,,
United States ,Stone,Limestone,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,0.001,,,,,,
India,Stone,Limestone,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,0.002,,,,,,
United Kingdom,Stone,Limestone,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,0.000,,,,,,
Rest-of-World,Stone,Limestone,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,0.002,,,,,,
,Stone,Concrete,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),Installation of stone countertop is considered due to the nature of the production associated with furniture and such  products,92.2300,The source provided kWh/kg of 1m2 related energy and alos the weight of 1m2,EPD Natural Stone Countertops  2022/11/01 – 2027/10/31.pdf,Keep out of backend updates,0.15/92.23,0.0016,"Energy consumption associated with the installation of 1 m² (92.23 kg) of countertop is considered. The construction phase is excluded, as the stone material is assumed to be prepared during the customer’s pre-installation phase and is accounted for in the material database.",EPD (Sustainable Minds Transparency Report),,
China,Stone,Concrete,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,0.001,,,,,,
Vietnam,Stone,Concrete,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,0.001,,,,,,
Global,Stone,Concrete,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,0.001,,,,,,
Czech Republic,Stone,Concrete,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,0.001,,,,,,
France,Stone,Concrete,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,0.000,,,,,,
Netherlands,Stone,Concrete,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,0.001,,,,,,
Poland,Stone,Concrete,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,0.002,,,,,,
Spain,Stone,Concrete,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,0.000,,,,,,
Taiwan,Stone,Concrete,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,0.001,,,,,,
United States ,Stone,Concrete,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,0.001,,,,,,
India,Stone,Concrete,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,0.002,,,,,,
United Kingdom,Stone,Concrete,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,0.000,,,,,,
Rest-of-World,Stone,Concrete,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,0.002,,,,,,
,Stone,Terrazzo,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),Installation of stone countertop is considered due to the nature of the production associated with furniture and such  products,92.2300,The source provided kWh/kg of 1m2 related energy and alos the weight of 1m2,EPD Natural Stone Countertops  2022/11/01 – 2027/10/31.pdf,Keep out of backend updates,0.15/92.23,0.0016,"Energy consumption associated with the installation of 1 m² (92.23 kg) of countertop is considered. The construction phase is excluded, as the stone material is assumed to be prepared during the customer’s pre-installation phase and is accounted for in the material database.",EPD (Sustainable Minds Transparency Report),,
China,Stone,Terrazzo,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,0.001,,,,,,
Vietnam,Stone,Terrazzo,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,0.001,,,,,,
Global,Stone,Terrazzo,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,0.001,,,,,,
Czech Republic,Stone,Terrazzo,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,0.001,,,,,,
France,Stone,Terrazzo,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,0.000,,,,,,
Netherlands,Stone,Terrazzo,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,0.001,,,,,,
Poland,Stone,Terrazzo,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,0.002,,,,,,
Spain,Stone,Terrazzo,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,0.000,,,,,,
Taiwan,Stone,Terrazzo,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,0.001,,,,,,
United States ,Stone,Terrazzo,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,0.001,,,,,,
India,Stone,Terrazzo,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,0.002,,,,,,
United Kingdom,Stone,Terrazzo,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,0.000,,,,,,
Rest-of-World,Stone,Terrazzo,Whole Process,EPD,Whole process of stone countertop installation (kWh/kg),,,,,0.002,,,,,,
Switzerland (CH),Stone,Basalt,"natural stone plate production, polished",Ecoinvent V 3.11,"natural stone plate production, polished-per 1 kg","The product ""natural stone plate, polished"" represents a polished granite plate. For the polishing process it has been assumed that about 0.05 mm on each side of the plate is emitted as dust.",,,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/6831/documentation,0.804,,,Ecoinvent,Ecoinvent V 3.11,,
Rest-of-World (RoW),Stone,Basalt,"natural stone plate production, polished",Ecoinvent V 3.11,"natural stone plate production, polished-per 1 kg","The product ""natural stone plate, polished"" represents a polished granite plate. For the polishing process it has been assumed that about 0.05 mm on each side of the plate is emitted as dust.",,,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/8037/documentation,0.965,,,Ecoinvent,Ecoinvent V 3.11,,
Switzerland (CH),Stone,Jasper,"natural stone plate production, polished",Ecoinvent V 3.11,"natural stone plate production, polished-per 1 kg","The product ""natural stone plate, polished"" represents a polished granite plate. For the polishing process it has been assumed that about 0.05 mm on each side of the plate is emitted as dust.",,,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/6831/documentation,0.804,,,Ecoinvent,Ecoinvent V 3.11,,
Rest-of-World (RoW),Stone,Jasper,"natural stone plate production, polished",Ecoinvent V 3.11,"natural stone plate production, polished-per 1 kg","The product ""natural stone plate, polished"" represents a polished granite plate. For the polishing process it has been assumed that about 0.05 mm on each side of the plate is emitted as dust.",,,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/8037/documentation,0.965,,,Ecoinvent,Ecoinvent V 3.11,,
Europe (RER),Metal,Stainless Steel,"metal working, average for metal product manufacturing",Ecoinvent V 3.11,"This is delivering the service of 'metal working, average for metal product manufacturing'.","This dataset encompasses manufacturing processes to make a semi-manufactured product into a final product. It includes average values for the processing by machines as well as the factory infrastructure and operation. Furthermore, an additional metal input is considered for the loss during processsing. Degreasing is not included and has to be added if necessary.",1,Total material weight of the product,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/8721/documentation,2.390,,,Acceptable proxy for stainless steel if material input is stainless steel,Ecoinvent V 3.11,,
Rest-of-World (RoW),Metal,Stainless Steel,"metal working, average for metal product manufacturing",Ecoinvent V 3.11,"This is delivering the service of 'metal working, average for metal product manufacturing'.","This dataset encompasses manufacturing processes to make a semi-manufactured product into a final product. It includes average values for the processing by machines as well as the factory infrastructure and operation. Furthermore, an additional metal input is considered for the loss during processsing. Degreasing is not included and has to be added if necessary.",1,Total material weight of the product,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/2421/documentation,1.818,,,Acceptable proxy for stainless steel if material input is stainless steel,Ecoinvent V 3.11,,
Europe (RER),Metal,Primary Aluminum,"metal working, average for aluminium product manufacturing",Ecoinvent V 3.11,"This is delivering the service of 'metal working, average for aluminium product manufacturing'.","This is delivering the service of 'metal working, average for aluminium product manufacturing'. The dataset represents average manufacturing processes to make a semi-manufactured aluminium product into a final product. The service includes machinery, infrastructure, metal operations and additional aluminium input to consider for the provessing losses, but it excludes the main aluminium input and the process of degreasing.",1,Total material weight of the product,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/9365/documentation,3.586,,,Ecoinvent,Ecoinvent V 3.12,,
Rest-of-World (RoW),Metal,Primary Aluminum,"metal working, average for aluminium product manufacturing",Ecoinvent V 3.11,"This is delivering the service of 'metal working, average for aluminium product manufacturing'.","This is delivering the service of 'metal working, average for aluminium product manufacturing'. The dataset represents average manufacturing processes to make a semi-manufactured aluminium product into a final product. The service includes machinery, infrastructure, metal operations and additional aluminium input to consider for the provessing losses, but it excludes the main aluminium input and the process of degreasing.",1,Total material weight of the product,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/9365/documentation,4.157,,,Ecoinvent,Ecoinvent V 3.13,,
Europe (RER),Metal,Hot Rolled Low-Alloy Steel,"metal working, average for metal product manufacturing",Ecoinvent V 3.11,"This is delivering the service of 'metal working, average for metal product manufacturing'.","This dataset encompasses manufacturing processes to make a semi-manufactured product into a final product. It includes average values for the processing by machines as well as the factory infrastructure and operation. Furthermore, an additional metal input is considered for the loss during processsing. Degreasing is not included and has to be added if necessary.",1,Total material weight of the product,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/8721/documentation,1.818,,,Ecoinvent,Ecoinvent V 3.11,,
United States.,Metal,Hot Rolled Low-Alloy Steel,Fabricated Structural Steel Sections,EPD,A3 stage of the fabricated Structural Steel Sections,"This EPD presents inventory and impact assessment results which combine the manufacturing stage (A1) of SDI structural sections with industry-average transport to fabrication (A2) and fabrication (A3) as published by AISC in the EPD for “Fabricated Hot-rolled Structural Sections” (American Institute of Steel Construction, 2021).",1,"Declared Unit: One metric ton (1,000 kg) of fabricated steel structural sections",EPD_ASTM – Fabricated Hot-Rolled Structural Steel Sections_ASTM-EPD-341_US_062022 062027.pdf,Keep out of backend updates,(216*0.277778)/1000,0.05994010789,EPD,EPD,,
China,Metal,Hot Rolled Low-Alloy Steel,Fabricated Structural Steel Sections,EPD,,,,,,0.0501,,,,,,
Vietnam,Metal,Hot Rolled Low-Alloy Steel,Fabricated Structural Steel Sections,EPD,,,,,,0.0377,,,,,,
Global,Metal,Hot Rolled Low-Alloy Steel,Fabricated Structural Steel Sections,EPD,,,,,,0.0406,,,,,,
Czech Republic,Metal,Hot Rolled Low-Alloy Steel,Fabricated Structural Steel Sections,EPD,,,,,,0.0397,,,,,,
France,Metal,Hot Rolled Low-Alloy Steel,Fabricated Structural Steel Sections,EPD,,,,,,0.0046,,,,,,
Netherlands,Metal,Hot Rolled Low-Alloy Steel,Fabricated Structural Steel Sections,EPD,,,,,,0.0265,,,,,,
Poland,Metal,Hot Rolled Low-Alloy Steel,Fabricated Structural Steel Sections,EPD,,,,,,0.0576,,,,,,
Spain,Metal,Hot Rolled Low-Alloy Steel,Fabricated Structural Steel Sections,EPD,,,,,,0.0121,,,,,,
Taiwan,Metal,Hot Rolled Low-Alloy Steel,Fabricated Structural Steel Sections,EPD,,,,,,0.0462,,,,,,
United States ,Metal,Hot Rolled Low-Alloy Steel,Fabricated Structural Steel Sections,EPD,,,,,,0.0289,,,,,,
India,Metal,Hot Rolled Low-Alloy Steel,Fabricated Structural Steel Sections,EPD,,,,,,0.0862,,,,,,
United Kingdom,Metal,Hot Rolled Low-Alloy Steel,Fabricated Structural Steel Sections,EPD,,,,,,0.0168,,,,,,
Rest-of-World,Metal,Hot Rolled Low-Alloy Steel,Fabricated Structural Steel Sections,EPD,,,,,,0.0617,,,,,,
Europe (RER),Metal,Steel Section Bar,"metal working, average for metal product manufacturing",Ecoinvent V 3.11,"This is delivering the service of 'metal working, average for metal product manufacturing'.","This dataset encompasses manufacturing processes to make a semi-manufactured product into a final product. It includes average values for the processing by machines as well as the factory infrastructure and operation. Furthermore, an additional metal input is considered for the loss during processsing. Degreasing is not included and has to be added if necessary.",1,Total material weight of the product,https://ecoquery.ecoinvent.org/3.11/cutoff/dataset/8721/documentation,1.818,,,Ecoinvent,Ecoinvent V 3.11,,
United States.,Metal,Hot Rolled Low-Alloy Steel,Fabricated Structural Steel Sections,EPD,A3 stage of the fabricated Structural Steel Sections,"This EPD presents inventory and impact assessment results which combine the manufacturing stage (A1) of SDI structural sections with industry-average transport to fabrication (A2) and fabrication (A3) as published by AISC in the EPD for “Fabricated Hot-rolled Structural Sections” (American Institute of Steel Construction, 2021).",1,"Declared Unit: One metric ton (1,000 kg) of fabricated steel structural sections",EPD_ASTM – Fabricated Hot-Rolled Structural Steel Sections_ASTM-EPD-341_US_062022 062027.pdf,Keep out of backend updates,(216*0.277778)/1000,0.05994010789,EPD,Ecoinvent V 3.11,,
China,Metal,Hot Rolled Low-Alloy Steel,Fabricated Structural Steel Sections,EPD,,,,,,0.0501,,,,,,
Vietnam,Metal,Hot Rolled Low-Alloy Steel,Fabricated Structural Steel Sections,EPD,,,,,,0.0377,,,,,,
Global,Metal,Hot Rolled Low-Alloy Steel,Fabricated Structural Steel Sections,EPD,,,,,,0.0406,,,,,,
Czech Republic,Metal,Hot Rolled Low-Alloy Steel,Fabricated Structural Steel Sections,EPD,,,,,,0.0397,,,,,,
France,Metal,Hot Rolled Low-Alloy Steel,Fabricated Structural Steel Sections,EPD,,,,,,0.0046,,,,,,
Netherlands,Metal,Hot Rolled Low-Alloy Steel,Fabricated Structural Steel Sections,EPD,,,,,,0.0265,,,,,,
Poland,Metal,Hot Rolled Low-Alloy Steel,Fabricated Structural Steel Sections,EPD,,,,,,0.0576,,,,,,
Spain,Metal,Hot Rolled Low-Alloy Steel,Fabricated Structural Steel Sections,EPD,,,,,,0.0121,,,,,,
Taiwan,Metal,Hot Rolled Low-Alloy Steel,Fabricated Structural Steel Sections,EPD,,,,,,0.0462,,,,,,
United States ,Metal,Hot Rolled Low-Alloy Steel,Fabricated Structural Steel Sections,EPD,,,,,,0.0289,,,,,,
India,Metal,Hot Rolled Low-Alloy Steel,Fabricated Structural Steel Sections,EPD,,,,,,0.0862,,,,,,
United Kingdom,Metal,Hot Rolled Low-Alloy Steel,Fabricated Structural Steel Sections,EPD,,,,,,0.0168,,,,,,
Rest-of-World,Metal,Hot Rolled Low-Alloy Steel,Fabricated Structural Steel Sections,EPD,,,,,,0.0617,,,,,,
